employee_id,last_name,first_name,department,salary
15222,Lee,Mason,Legal,128317.29
13919,Smith,Evelyn,Engineering,45478.44
14956,Robinson,Olivia,Engineering,109009.12
13878,Anderson,Thomas,Engineering,82971.79
10608,Perez,Jessica,Engineering,62449.36
13610,Wilson,Noah,Customer Support,93847.11
13892,Miller,Jennifer,Engineering,121590.53
14515,Flores,James,Customer Support,31336.34
6447,Lewis,Richard,Research & Development,36936.01
14008,Jackson,Mason,Customer Support,121261.83
2453,Johnson,Michael,Human Resources,141520.68
6391,Lopez,Elizabeth,Sales,110285.85
2708,Gonzalez,Patricia,Product Management,132723.18
12522,Garcia,Jennifer,Engineering,134970.03
7514,Lee,Mary,Operations,31035.25
5545,Davis,Jennifer,Engineering,68329.42
5350,Robinson,William,Research & Development,59533.85
6173,Wright,Patricia,Research & Development,112402.48
4551,Thomas,Mary,Human Resources,63732.54
515,Young,Jessica,Operations,148202.71
7096,Jackson,Karen,Human Resources,145119.44
3057,Davis,Jennifer,Product Management,89557.6
13569,Thompson,Patricia,Marketing,138227.73
12000,Moore,Ava,Product Management,137274.49
11638,Davis,Michael,Human Resources,72682.18
7548,Robinson,Amelia,Customer Support,100255.5
4522,Clark,John,Sales,95508.05
13547,Williams,Ethan,Logistics,128609.24
7578,King,Olivia,Logistics,111381.16
14677,Taylor,William,Customer Support,97330.32
3293,Davis,Richard,Research & Development,47008.89
12238,Sanchez,Charlotte,Research & Development,44091.58
4173,Martin,Michael,Operations,53318.95
5354,Hill,Karen,Finance,57379.8
1950,Davis,Jennifer,Logistics,141182.98
5323,Miller,David,Product Management,145384.94
14103,Thompson,John,Operations,63685.35
5158,Miller,Noah,Sales,133578.32
2789,Walker,John,Engineering,117283.34
11945,Hill,David,Finance,140036.28
9032,Thomas,Olivia,Customer Support,134271.49
1664,Smith,William,Logistics,31518.91
3244,Robinson,Charlotte,Product Management,42092.13
6572,Nguyen,Ava,Engineering,62225.7
14290,Scott,Emma,Human Resources,48719.59
5976,Jones,Ethan,IT,90505.89
4815,Perez,Sarah,Human Resources,115828.08
14114,Smith,Richard,Product Management,35367.39
6479,Thomas,Ava,Logistics,60907.17
4856,Hernandez,Sarah,Research & Development,60024.84
7002,Williams,Linda,Engineering,71547.24
10822,Hill,David,Sales,86997.95
5309,Scott,Robert,Customer Support,87048.84
5465,Torres,Joseph,Customer Support,57207.94
2202,Lewis,Mason,Finance,110648.98
1949,Jones,Thomas,Marketing,66875.25
9278,Perez,Jennifer,Marketing,112682.36
2422,Sanchez,Mason,Engineering,118517.0
6457,Hernandez,Charles,Finance,32525.22
5647,Lee,Sophia,Research & Development,40206.55
2573,Green,Aiden,Operations,73601.97
6909,Walker,Charlotte,Customer Support,106889.07
473,Ramirez,Charles,Legal,92954.95
2912,Davis,Susan,Research & Development,137317.92
4099,White,Noah,Logistics,125198.27
14473,Brown,Patricia,Operations,32285.73
3675,Miller,Michael,IT,55209.21
1019,Harris,Amelia,Customer Support,149548.57
5982,Lewis,Karen,Legal,51568.4
