employee_id,last_name,first_name,department,salary
1,Thompson,Liam,Operations,79970.83
2,Perez,Elizabeth,Marketing,121230.17
3,Johnson,Charles,Sales,79221.48
4,White,Harper,Engineering,73735.83
5,Martin,Charles,Product Management,54848.24
6,Torres,Sarah,Human Resources,65845.07
7,Wilson,Ava,Product Management,137945.28
8,Anderson,Richard,Human Resources,64072.87
9,Hernandez,David,Logistics,72598.16
10,Jackson,Michael,Finance,99536.44
11,Taylor,Thomas,Product Management,89279.46
12,Flores,Amelia,Legal,121099.29
13,Garcia,Emma,Sales,85460.23
14,Lee,Michael,Human Resources,59391.69
15,Martin,Robert,Engineering,50307.28
16,Thompson,James,Operations,50076.17
17,Williams,Linda,Engineering,85607.42
18,Williams,Lucas,Operations,106406.63
19,Flores,Charlotte,Product Management,78214.78
20,Anderson,Noah,Marketing,114538.44
21,Nguyen,Harper,Logistics,98307.15
22,Flores,Amelia,Finance,43033.77
23,Jones,Thomas,Product Management,78249.82
24,Harris,Joseph,Human Resources,99351.97
25,Hill,Linda,Marketing,84431.67
26,Wright,Thomas,Logistics,93944.55
27,Williams,William,Human Resources,98661.56
28,Anderson,Karen,Finance,83938.23
29,Ramirez,James,Marketing,57314.85
30,Hill,Sophia,IT,68280.42
31,Sanchez,Harper,Logistics,53435.33
32,Martin,Jennifer,Legal,57219.02
33,Martinez,Barbara,Engineering,73870.08
34,Wright,Sarah,Customer Support,36345.55
35,Hernandez,Mia,Legal,65110.75
36,Anderson,Amelia,Customer Support,85360.71
37,Martinez,Lucas,Engineering,48044.81
38,Young,Charles,Research & Development,49871.71
39,Thomas,Olivia,Engineering,110553.71
40,Williams,Barbara,Product Management,139339.99
41,Taylor,Mary,Customer Support,93698.26
42,Lee,Isabella,Logistics,83387.14
43,Davis,Noah,Sales,116006.31
44,Scott,Barbara,Marketing,147577.36
45,Anderson,William,Legal,107420.2
46,Harris,Mia,Research & Development,97816.96
47,Harris,Ava,Sales,44210.25
48,Williams,Olivia,Human Resources,84363.07
49,Ramirez,Michael,Sales,137936.15
50,Clark,Ethan,Human Resources,102466.27
51,Miller,Elizabeth,Product Management,140507.11
52,Lewis,Barbara,Human Resources,66093.46
53,Garcia,Joseph,IT,55947.41
54,Thompson,David,Marketing,110707.62
55,Garcia,Jennifer,Marketing,128154.87
56,Jackson,Thomas,Human Resources,122296.34
57,Davis,Robert,Logistics,33742.13
58,Rodriguez,Emma,Product Management,39936.98
59,Hernandez,Harper,Marketing,145418.07
60,Clark,Richard,Operations,124247.06
61,Scott,John,IT,92823.04
62,King,Ava,Sales,141682.22
63,Miller,Mary,IT,40568.69
64,Robinson,Noah,IT,56832.47
65,Sanchez,Isabella,Human Resources,98022.07
66,Perez,James,Sales,117307.73
67,Flores,Mia,Operations,110882.79
68,Lee,Mason,Research & Development,33506.83
69,Walker,Michael,IT,99759.14
70,Miller,Patricia,Sales,48266.88
71,Jones,Jessica,IT,148388.32
72,King,David,Research & Development,38773.83
73,Wilson,David,Engineering,107288.93
74,Jones,Elizabeth,Logistics,31861.87
75,Flores,Elizabeth,Sales,120065.57
76,Hill,Mason,Logistics,93791.08
77,Scott,James,Legal,124522.83
78,Johnson,Mason,Logistics,111847.74
79,Hill,Isabella,Operations,64817.63
80,Harris,Sarah,Operations,53647.46
81,Robinson,William,Legal,41825.63
82,Scott,Elizabeth,Research & Development,52362.6
83,Jackson,Liam,Marketing,102570.61
84,Ramirez,David,Operations,111101.33
85,Clark,Barbara,Engineering,126116.64
86,Rodriguez,Ethan,IT,80661.75
87,Robinson,David,Engineering,132733.99
88,Jackson,Patricia,Sales,76562.36
89,Wright,Thomas,Customer Support,140170.36
90,Anderson,Joseph,Research & Development,144846.14
91,Miller,Barbara,Logistics,145511.57
92,Moore,Elizabeth,Operations,147909.61
93,Davis,Aiden,IT,114937.34
94,Thompson,Thomas,Human Resources,71285.39
95,Lopez,Isabella,Research & Development,137952.22
96,Davis,Charles,Logistics,37408.9
97,Thompson,Charles,Product Management,104282.09
98,Miller,Patricia,Product Management,36699.04
99,Garcia,Liam,Engineering,120754.99
100,Robinson,Lucas,Logistics,59013.46
101,Robinson,Elizabeth,Human Resources,55696.2
102,Brown,Ethan,Operations,59355.44
103,Jackson,Evelyn,Operations,68361.52
104,Davis,Thomas,Logistics,46209.88
105,Jones,David,Sales,69004.6
106,White,John,Human Resources,123882.0
107,Garcia,Sophia,Engineering,58425.44
108,Lewis,Linda,Human Resources,120003.51
109,Flores,John,Logistics,90312.43
110,Lopez,Charlotte,Research & Development,140910.41
111,Harris,Thomas,Customer Support,117273.64
112,Wilson,Olivia,IT,42163.63
113,Green,Charles,Customer Support,98461.9
114,Harris,William,Product Management,71282.98
115,Sanchez,Patricia,Engineering,85595.47
116,Miller,Linda,Marketing,102202.15
117,Sanchez,Ethan,Sales,43310.73
118,Wright,William,IT,129258.36
119,Brown,Mia,Engineering,128969.46
120,Wilson,Robert,Human Resources,65859.81
121,King,Thomas,Customer Support,116170.36
122,Garcia,Robert,Customer Support,55879.38
123,Gonzalez,Robert,Customer Support,60302.07
124,Brown,Elizabeth,Sales,112116.27
125,Hill,Robert,Logistics,95577.54
126,Wright,Mia,Operations,77145.52
127,Davis,Aiden,IT,75200.37
128,Scott,David,Customer Support,107713.61
129,Hernandez,Mary,Human Resources,41358.01
130,White,Noah,Legal,54240.92
131,Hernandez,Ava,Product Management,144053.69
132,Torres,Richard,IT,116436.58
133,King,Ethan,Product Management,90403.23
134,King,David,Engineering,102734.4
135,Brown,Linda,Legal,136924.83
136,Green,David,Engineering,58884.78
137,Lewis,Linda,Legal,117003.07
138,Williams,Isabella,Human Resources,148762.11
139,Clark,Olivia,Engineering,56801.76
140,Lee,Olivia,IT,38855.2
141,Johnson,Evelyn,Engineering,56747.83
142,Johnson,Noah,Sales,131596.24
143,Scott,Sophia,Customer Support,128804.83
144,Allen,Emma,Engineering,35809.28
145,Harris,Michael,Customer Support,47745.16
146,Martinez,William,Product Management,102335.73
147,Jackson,Ethan,Legal,142553.84
148,Robinson,Patricia,Legal,54612.43
149,Lewis,Elizabeth,IT,108228.15
150,Ramirez,Olivia,Logistics,98027.47
151,Thomas,Charles,Sales,49267.44
152,Lee,Elizabeth,Finance,109653.44
153,Martin,Joseph,Legal,64000.75
154,Martin,Lucas,Logistics,73893.57
155,Anderson,Mia,Marketing,98750.87
156,Hill,Aiden,Engineering,88853.96
157,Taylor,David,Research & Development,104141.18
158,Smith,Charles,Product Management,115877.88
159,Thomas,Harper,Marketing,145562.05
160,Scott,Evelyn,Product Management,123346.56
161,Brown,John,Product Management,53567.95
162,Martinez,Jessica,Legal,50475.36
163,King,John,Finance,111167.42
164,Clark,Ava,Finance,117125.27
165,Harris,Olivia,IT,140558.6
166,Clark,Michael,Product Management,56767.35
167,Garcia,Michael,Engineering,103752.54
168,Jones,Noah,Logistics,88538.54
169,Sanchez,Evelyn,IT,52975.32
170,Wilson,Mia,Operations,41326.18
171,Harris,Mason,Human Resources,147268.77
172,Clark,David,Sales,44002.19
173,Wright,Joseph,Logistics,62298.89
174,Nguyen,Robert,IT,145170.64
175,Lewis,Susan,Operations,83049.47
176,Davis,Barbara,Finance,89821.26
177,Moore,Ethan,Legal,31584.54
178,Rodriguez,Isabella,Marketing,43357.41
179,Wright,Olivia,Research & Development,77609.36
180,Walker,Olivia,Research & Development,88175.44
181,Thompson,Olivia,Research & Development,65598.58
182,Hernandez,Susan,Logistics,61325.89
183,Moore,Robert,Customer Support,68515.44
184,Flores,Mary,Engineering,46793.13
185,Scott,Jessica,Human Resources,138528.51
186,Ramirez,Liam,Research & Development,64445.33
187,Lewis,Charlotte,Logistics,122744.36
188,Moore,Jennifer,Customer Support,64388.82
189,Miller,Mary,Human Resources,53892.97
190,Williams,James,Operations,117159.53
191,Lopez,Mary,Product Management,54778.08
192,Lopez,Mia,Finance,61976.5
193,Walker,Mary,Engineering,116860.3
194,Wright,Mary,Customer Support,136886.69
195,Brown,Jennifer,Finance,61801.14
196,Nguyen,Charles,IT,33168.14
197,Hernandez,Sarah,Legal,109033.49
198,Rodriguez,Michael,Finance,88843.61
199,Lee,Susan,Human Resources,79288.41
200,Lopez,Sophia,IT,41176.0
201,Lewis,Amelia,Human Resources,67589.03
202,Taylor,Susan,Research & Development,34011.31
203,Moore,Barbara,Customer Support,36033.39
204,Wilson,Harper,IT,42404.38
205,Miller,Amelia,Product Management,143752.09
206,Lee,John,Human Resources,37948.9
207,Miller,Mason,Operations,101381.21
208,Jackson,Harper,Product Management,143798.44
209,Green,Ava,Logistics,52426.13
210,Moore,Noah,Operations,148984.01
