employee_id,last_name,first_name,department,salary
4,White,Jessica,Engineering,135151.53
23,Taylor,Aiden,Product Management,141806.06
35,Clark,John,Human Resources,74027.51
45,Garcia,Isabella,Sales,76664.01
49,Robinson,Robert,Product Management,80846.86
88,Martin,Harper,IT,30499.54
98,Davis,Sarah,Finance,35276.32
104,Davis,David,Finance,89348.68
116,Garcia,Thomas,Engineering,40503.59
139,King,Ethan,Logistics,52934.28
151,Wilson,Richard,Logistics,113300.13
157,Torres,Ethan,Human Resources,112155.3
206,Scott,Thomas,Logistics,132616.42
219,Harris,Charlotte,Research & Development,120998.78
253,Torres,Mason,Product Management,49861.8
289,Jones,Aiden,Legal,95707.03
297,Wilson,Sarah,Product Management,70815.87
373,Moore,William,Legal,82757.86
377,Nguyen,Amelia,Product Management,108476.87
388,Green,Emma,Legal,127110.49
397,Taylor,Harper,Product Management,52016.82
399,Wilson,Linda,Research & Development,58787.38
456,Flores,Mason,Product Management,138689.43
475,Nguyen,Mason,IT,32460.78
521,Jones,Jessica,Human Resources,148351.96
551,Moore,Ethan,Operations,50764.71
567,Walker,Mia,Finance,51677.99
576,Jackson,Linda,Research & Development,40969.04
584,Harris,Olivia,Sales,132650.06
587,Lewis,Sophia,Logistics,71634.65
597,Young,Charles,Logistics,89164.71
599,Davis,Ethan,Logistics,128320.7
619,Hill,Richard,Sales,140295.01
628,Ramirez,Evelyn,Engineering,40126.74
634,Walker,Isabella,Finance,71067.47
666,Lee,Charlotte,Sales,44683.34
672,Martin,William,Legal,145558.75
678,White,Emma,Finance,137045.29
723,Brown,James,Engineering,143784.04
730,Walker,Richard,Human Resources,123483.04
735,Robinson,Emma,IT,57152.34
743,Thomas,Liam,Finance,147293.75
766,Jackson,Evelyn,Marketing,75873.03
770,Thompson,Barbara,Logistics,57370.93
810,Jackson,Elizabeth,Human Resources,72417.94
822,Brown,Elizabeth,Legal,126207.75
844,Young,Linda,Research & Development,87356.45
857,Perez,Michael,Operations,48682.15
862,Lewis,Susan,Logistics,123956.92
879,Wilson,Michael,Customer Support,133054.86
953,Nguyen,Jennifer,Research & Development,146483.81
992,Gonzalez,Michael,Research & Development,60356.39
1008,Robinson,Evelyn,Marketing,115583.12
1037,Williams,Thomas,IT,55954.64
1038,Torres,Olivia,Legal,73017.76
1039,Thompson,Mary,Logistics,55020.44
1093,Jones,Aiden,Research & Development,106912.72
1101,Ramirez,Ethan,IT,110197.71
1128,Brown,Sarah,Operations,112455.83
1187,Wright,Noah,Product Management,30228.33
1198,Moore,Elizabeth,Product Management,91902.29
1217,Thomas,Susan,Operations,82516.56
1228,Martinez,Thomas,Legal,144413.51
1233,Hill,Emma,Operations,70163.23
1249,Hill,Mary,Logistics,60717.97
1256,Wright,Mason,Human Resources,144669.56
1274,Hernandez,Charles,Operations,131423.59
1276,Jones,Mason,Marketing,63738.36
1279,Anderson,Sarah,Marketing,122032.1
1286,White,Michael,Marketing,93645.61
1288,Davis,Amelia,Logistics,116966.39
1355,Anderson,William,Legal,145845.87
1388,Young,Barbara,Customer Support,144590.22
1409,Jackson,Olivia,Finance,38320.98
1450,Flores,Evelyn,Legal,93141.01
1470,Hill,Evelyn,Legal,131625.75
1475,White,Elizabeth,Product Management,51158.52
1511,Davis,Michael,Research & Development,90072.91
1519,Sanchez,Richard,Product Management,88115.25
1579,Rodriguez,Charles,Engineering,39353.44
1596,Lee,Ava,Legal,100025.08
1607,Hill,Sarah,Product Management,75782.66
1610,Wilson,Sophia,Finance,42181.71
1638,Flores,Charles,IT,31363.31
1644,Nguyen,Michael,Sales,146653.28
1657,Martinez,Olivia,Sales,103076.49
1668,White,Sarah,IT,142861.02
1676,Thomas,Thomas,Sales,50915.63
1691,Brown,David,Research & Development,148525.78
1699,Torres,Richard,Sales,82798.27
1717,Taylor,Liam,Logistics,117270.36
1718,Lee,Noah,Customer Support,109252.7
1725,Hill,Michael,IT,84674.73
1734,Wright,Sarah,Marketing,104307.79
1740,Davis,Jennifer,Marketing,116286.53
1749,Taylor,Patricia,Product Management,84215.97
1758,Lee,Ethan,Logistics,119716.42
1776,Anderson,Richard,Human Resources,130955.04
1782,Sanchez,Ava,Finance,144496.71
1802,Moore,Jennifer,Operations,141485.52
1808,Hill,James,Engineering,149748.56
1826,Flores,Elizabeth,Customer Support,81696.48
1849,Flores,Charles,Sales,113667.21
1908,Jackson,Susan,Human Resources,144054.19
1916,Rodriguez,Emma,Customer Support,66738.93
1922,Harris,Ava,Operations,60657.73
1929,Wright,Mary,Product Management,44389.08
1937,Perez,Ethan,Sales,140206.35
1955,Davis,Lucas,Sales,139692.32
1964,Smith,Ava,Sales,78860.32
1965,Flores,Linda,IT,96968.21
1967,Thomas,John,Product Management,51288.46
1989,Ramirez,Ethan,IT,34113.9
1992,Nguyen,Thomas,Research & Development,104610.7
2002,Brown,Charles,Product Management,112581.86
2007,Torres,Mia,Human Resources,102457.72
2010,Lewis,James,Legal,114223.94
2040,Sanchez,Ava,Engineering,126092.14
2064,Thompson,Linda,Marketing,45830.7
2069,Wilson,Noah,Research & Development,50170.05
2083,Allen,Susan,Product Management,80727.71
2085,Gonzalez,David,Product Management,139234.86
2091,Williams,William,Human Resources,32176.48
2119,Sanchez,Ethan,Product Management,141968.65
2136,Smith,Harper,Finance,49638.07
2145,Gonzalez,Liam,Research & Development,94787.75
2151,Flores,John,Marketing,105935.15
2178,Harris,David,Marketing,104833.04
2209,Miller,Lucas,Operations,122890.54
2217,Martinez,Sophia,Operations,77082.92
2226,Rodriguez,Ethan,Operations,46331.99
2239,Hill,Charlotte,Logistics,142744.4
2267,Johnson,Ethan,Marketing,103046.0
2284,Scott,Elizabeth,Customer Support,71418.98
2291,Anderson,Isabella,Sales,129606.45
2293,Hernandez,Mia,Operations,37439.54
2330,Green,David,Customer Support,135142.38
2343,Thompson,Emma,Marketing,116284.08
2359,Hill,Jennifer,Legal,105735.71
2374,Davis,Isabella,IT,129213.5
2397,Harris,Emma,Product Management,123809.54
2398,Wilson,Aiden,Engineering,142572.07
2415,Sanchez,Jessica,Customer Support,63527.75
2419,King,Jessica,Logistics,119277.11
2425,Lewis,Joseph,Human Resources,69084.73
2435,Thomas,John,Finance,131452.08
2451,Gonzalez,Sophia,Human Resources,125368.31
2456,Thomas,Sophia,Customer Support,56227.42
2478,Jones,Charlotte,Customer Support,142053.2
2483,Moore,Noah,Sales,52478.26
2496,Brown,Ava,Legal,73345.9
2518,Harris,Robert,Research & Development,90995.2
2525,Hernandez,Joseph,Logistics,39694.36
2530,Williams,Susan,IT,85084.57
2546,Davis,Richard,Customer Support,62670.47
2564,Davis,Patricia,Human Resources,57372.48
2582,Martinez,Elizabeth,Logistics,123542.47
2595,Smith,Robert,Product Management,41525.35
2597,Clark,Mason,IT,68737.63
